cp_no,cp_type,x_bohr,y_bohr,z_bohr,x_ang,y_ang,z_ang,rho,laplacian,G_ked,V_ped,H_ted,abs_V_over_G
659,"(3,-1)",4.9663550084,1.7369488039,37.3636371985,2.6280818917836855,0.9191537235586321,19.771985322528995,2.16858013e-05,-0.0005607605203,-9.341166639037421e-05,0.00023360179646537423,0.00014019013007500003,-2.5007775312468485
661,"(3,-1)",4.8873316167,3.0325707676,37.6227908979,2.586264513766441,1.6047673407160916,19.909123554377086,2.152756539e-05,0.0006188226693,0.0001031849444578521,-0.0002578906117828521,-0.00015470566732500002,2.4993046528041942
663,"(3,-1)",3.2107949435,1.9219227932,37.5757579091,1.699079513037369,1.017037743309152,19.88423476854267,2.105070696e-05,-0.004515076859,-0.0007524667297703356,0.0018812359445203356,0.00112876921475,-2.5000918580074867
664,"(3,-1)",20.4437001045,11.0260982854,37.1845733482,10.818340202184222,5.834759937997767,19.677228813650643,1.983980598e-05,-0.0003338021187,-5.559193890360659e-05,0.00013904246857860658,8.345052967499998e-05,-2.50112644604281
665,"(3,-1)",17.9648924696,3.0812366523,37.7021582825,9.50661169154064,1.6305202178485918,19.95112296559773,1.951720507e-05,-0.002676677263,-0.00044607225485532916,0.0011152415706053292,0.00066916931575,-2.500136599993259
666,"(3,-1)",3.4319854186,18.4576551444,37.512196485,1.8161284717328567,9.767370469436782,19.85059951141533,1.92107881e-05,-0.001730122717,-0.00028831422122246875,0.0007208449004724687,0.00043253067925,-2.5002058428337155
670,"(3,-1)",3.8113483097,22.446579104,37.5802623887,2.0168786683717026,11.878218124949875,19.886618436494043,1.803611205e-05,-0.00462024533,-0.0007700052727444693,0.0019250666052444691,0.0011550613325,-2.5000693805421688
671,"(3,-1)",0.3801811131,15.5801557946,37.378642674,0.2011831810747191,8.244663389085504,19.77992587820261,1.796553377e-05,-0.001340866967,-0.00022344244422413563,0.0005586591859741356,0.00033521674174999996,-2.50023753505732
673,"(3,-1)",18.2969531568,1.6979161093,37.5877099674,9.682330639849315,0.8984985110955119,19.890559525418617,1.768748673e-05,-0.00358823413,-0.000598004546042853,0.001495063078542853,0.0008970585325,-2.500086476659856
674,"(3,-1)",1.6977605802,18.295033401,37.5886273782,0.898416208640157,9.681314748829424,19.89104499830703,1.756012117e-05,-0.00327441328,-0.0005457014838072586,0.0013643048038072586,0.00081860332,-2.500093630474954
676,"(3,-1)",22.7427466221,5.7170558119,37.5425795817,12.03494322614313,3.025335649215218,19.866677553786147,1.722487522e-05,-0.003115032212,-0.0005191390494036433,0.0012978971024036434,0.0007787580530000001,-2.5000953095217784
679,"(3,-1)",19.0155911057,5.9240016209,37.6151705066,10.062617465309486,3.1348466552334218,19.905091016962835,1.675062092e-05,-0.00175005995,-0.0002916451721438063,0.0007291601596438064,0.0004375149875000001,-2.500161940909028
680,"(3,-1)",14.989816846,20.7916255209,37.2641208192,7.932269470767912,11.002454403642954,19.719323522490164,1.672986733e-05,-0.0002882631329,-4.801243428458721e-05,0.00012007821750958722,7.2065783225e-05,-2.5009816581646294
681,"(3,-1)",9.7847210043,21.6455191262,37.4461084887,5.177851370685816,11.454315440118032,19.815627249858004,1.64804134e-05,-0.0008924078427,-0.00014870399621689633,0.00037180595689189635,0.00022310196067500002,-2.500309113075808
684,"(3,-1)",20.7474728698,0.7566799971,37.5996885248,10.979089826879132,0.4004178104243317,19.896898305014396,1.571281079e-05,-0.00276177406,-0.0004602673741499075,0.0011507108891499074,0.0006904435149999999,-2.500092237202815
685,"(3,-1)",4.4301712532,3.5471466121,38.4881907227,2.3443456676663375,1.8770691509154054,20.367073419995403,1.519977501e-05,-0.00116529652,-0.00019418930749204186,0.00048551343749204186,0.00029132413,-2.5002068536236934
687,"(3,-1)",3.7619789225,0.7466532661,37.5624533344,1.990753513748377,0.39511189287910664,19.877194290810447,1.465561743e-05,-0.001097787888,-0.00018293944752147546,0.00045738641952147545,0.000274446972,-2.500206629670631
688,"(3,-1)",20.1394192246,7.726132521,37.486824325,10.657321694822459,4.088493258661089,19.837173142551514,1.397470158e-05,-0.0005858068725,-9.76111992940859e-05,0.0002440629174190859,0.000146451718125,-2.5003577374740162
690,"(3,-1)",20.8559060684,22.4030102358,37.5244461675,11.036470204485415,11.855162472792856,19.857081764235335,1.371345177e-05,-0.0007577092081,-0.0001262623093603791,0.0003156896113853791,0.000189427302025,-2.5002679975093343
691,"(3,-1)",4.9132943034,20.944878085,37.6876813656,2.6000033759023364,11.08355216807973,19.943462111089865,1.348420411e-05,-0.001277975152,-0.00021297392502295934,0.0005324677130229594,0.000319493788,-2.5001544811908665
694,"(3,-1)",22.7504243395,3.8493173415,37.5747377407,12.039006099223094,2.0369710147209594,19.88369491867409,1.303630697e-05,-0.0007408046002,-0.00012344670049057867,0.00030864785054057867,0.00018520115005,-2.500251925033301
695,"(3,-1)",12.6985898708,23.1463425353,38.2507549588,6.719804370446907,12.248516985829017,20.241427824682145,1.287938998e-05,-0.0003286282384,-5.4751054452786055e-05,0.00013690811405278605,8.21570596e-05,-2.5005566636318792
